Employee_ID,Age_Group,Monthly_Income_Band,Tenure_Group,Distance_Band,Manager_Tenure_Group,Satisfaction_Index,Engagement_Score,Salary_vs_Role_Avg,High_Flight_Risk,Stagnation_Flag,Attrition_Binary,Education_Label,Environment_Satisfaction_Label,Job_Satisfaction_Label,Relationship_Satisfaction_Label,Work_Life_Balance_Label,Performance_Rating_Label,Stock_Option_Label
1127,36-45,High,"Long Tenure","Very Close",Developing,3.00,3.00,1.62,1,0,1,Bachelor,Low,"Very High","Very High",Better,"Meets Expectations",High
1954,26-35,Medium,"Early Tenure","Very Close",New,1.25,1.60,0.71,0,0,0,Bachelor,Low,Low,Low,Good,"Meets Expectations",Low
1712,36-45,High,Veteran,"Very Close",Developing,3.00,2.80,1.43,0,0,0,"Below College",High,High,"Very High",Good,Excellent,Low
287,36-45,Medium,"Early Tenure",Close,New,3.25,3.00,0.65,0,0,0,Doctor,"Very High","Very High","Very High",Bad,"Meets Expectations",Low
288,46-55,High,"Early Tenure","Very Close",Developing,2.75,2.80,1.25,0,0,0,Master,"Very High",Low,High,Better,"Meets Expectations",Low
36,36-45,High,Veteran,Close,Long-Term,3.00,2.80,1.36,0,0,0,Master,Low,"Very High","Very High",Better,"Meets Expectations",Low
496,26-35,Medium,"New Hire",Close,New,2.75,2.60,0.87,0,0,0,Master,High,Medium,High,Better,"Meets Expectations",None
1703,36-45,High,Established,"Very Close",Established,3.00,3.20,1.05,0,0,0,Bachelor,High,"Very High",Medium,Better,"Meets Expectations",Low
40,36-45,Medium,"Early Tenure",Close,Developing,4.00,3.80,0.86,0,0,0,Master,"Very High","Very High","Very High",Best,"Meets Expectations",None
1697,56+,High,"New Hire","Very Close",New,3.50,3.00,1.45,0,0,0,Master,High,"Very High",High,Best,Excellent,Low
499,46-55,High,"Early Tenure",Close,New,2.75,2.60,1.46,0,0,0,Bachelor,Medium,High,High,Better,Excellent,None
1689,46-55,High,"Early Tenure",Far,New,3.00,3.20,0.93,0,0,0,Master,Medium,"Very High",High,Better,"Meets Expectations",None
1922,36-45,Medium,"Early Tenure","Very Close",Developing,2.75,2.80,0.72,0,0,0,Master,Medium,High,High,Better,"Meets Expectations",None
902,36-45,Medium,"Early Tenure","Very Close",New,3.00,3.00,0.74,0,0,0,Bachelor,"Very High","Very High",Medium,Good,"Meets Expectations",Low
1682,36-45,Medium,"Early Tenure",Far,New,2.00,2.20,0.71,0,0,0,Master,Low,High,Medium,Good,"Meets Expectations",Medium
1664,36-45,Medium,"Early Tenure","Very Close",Developing,2.25,2.60,0.91,0,0,0,College,"Very High",Low,Low,Better,Excellent,Low
717,26-35,High,Established,Close,Established,3.00,2.80,1.15,0,0,0,Bachelor,"Very High",Medium,Medium,Best,"Meets Expectations",None
1661,46-55,High,"Long Tenure",Close,Long-Term,2.75,2.60,1.86,0,0,0,"Below College",High,High,Medium,Better,"Meets Expectations",Low
721,36-45,Medium,"Long Tenure","Very Close",Established,2.75,2.60,0.60,0,1,0,Master,"Very High",High,Low,Better,"Meets Expectations",None
223,56+,High,"Early Tenure",Far,Developing,2.50,2.80,1.25,0,0,0,College,High,"Very High",Medium,Bad,"Meets Expectations",Low
1859,26-35,Medium,Established,Far,Established,3.50,3.00,0.85,0,0,0,"Below College","Very High",High,"Very High",Better,"Meets Expectations",Medium
724,36-45,High,Established,"Very Close",Established,2.75,3.00,1.01,0,0,0,Master,Medium,"Very High",High,Good,"Meets Expectations",None
1034,46-55,Medium,Established,Moderate,Established,3.00,3.00,0.85,0,1,0,Master,High,Medium,"Very High",Better,"Meets Expectations",Medium
1033,36-45,Medium,"New Hire",Moderate,New,1.25,1.20,0.63,1,0,1,College,Low,Medium,Low,Bad,"Meets Expectations",None
1651,36-45,High,"Early Tenure","Very Close",New,2.25,2.40,1.06,0,0,0,Master,Medium,Low,High,Better,"Meets Expectations",Medium
451,36-45,High,"New Hire",Close,New,1.75,2.00,1.33,0,0,0,Bachelor,High,Low,Low,Good,"Meets Expectations",Low
1118,46-55,High,Established,Close,New,2.75,2.80,1.39,0,0,0,Master,Medium,Medium,"Very High",Better,"Meets Expectations",None
1630,26-35,Medium,"Long Tenure",Close,Established,3.25,3.20,0.55,0,0,0,Master,High,High,"Very High",Better,"Meets Expectations",Low
1606,46-55,High,Veteran,Moderate,Long-Term,2.75,2.80,1.49,0,0,0,Doctor,Medium,High,High,Better,"Meets Expectations",Low
852,36-45,Medium,"Early Tenure","Very Close",Developing,3.00,3.00,0.79,0,0,0,Bachelor,"Very High",Medium,"Very High",Good,"Meets Expectations",None
70,26-35,High,"Early Tenure",Moderate,Developing,2.50,2.40,1.31,0,0,0,College,High,Low,High,Better,"Meets Expectations",Low
1597,26-35,Medium,Established,Close,Established,2.75,2.60,0.67,0,1,0,Master,"Very High",High,Medium,Good,"Meets Expectations",Low
924,36-45,Medium,"Long Tenure",Moderate,Long-Term,2.50,2.60,0.87,0,0,0,"Below College",High,"Very High",Low,Good,"Meets Expectations",Low
526,36-45,Medium,"Early Tenure",Close,New,3.25,3.20,0.60,0,0,0,Master,High,High,"Very High",Better,"Meets Expectations",None
1590,26-35,High,Established,"Very Close",Developing,3.25,3.20,1.18,0,0,0,"Below College",Low,"Very High","Very High",Best,"Meets Expectations",Low
1587,26-35,Medium,"Early Tenure",Close,Developing,2.50,2.60,0.82,0,0,0,Master,Low,High,High,Better,"Meets Expectations",None
1103,26-35,High,Established,"Very Close",Developing,2.50,2.60,1.03,0,0,0,"Below College",Low,"Very High",High,Good,"Meets Expectations",None
1829,36-45,Medium,Established,Moderate,Established,2.00,2.20,0.59,0,1,0,Bachelor,Medium,Low,Medium,Better,"Meets Expectations",Low
1099,26-35,High,"Early Tenure","Very Close",New,3.50,3.20,0.95,0,0,0,Bachelor,"Very High","Very High",High,Better,"Meets Expectations",Low
1553,36-45,High,Established,"Very Close",Established,1.75,2.00,0.99,0,0,0,Master,Low,Medium,Low,Better,"Meets Expectations",High
659,36-45,Medium,Established,"Very Close",New,3.00,3.00,0.54,0,0,0,Master,High,"Very High",Medium,Better,"Meets Expectations",Medium
83,36-45,High,"Long Tenure",Close,Established,2.75,2.80,1.34,0,0,0,Bachelor,High,High,Medium,Better,"Meets Expectations",High
1552,36-45,Medium,"New Hire",Close,New,3.50,3.40,0.54,0,0,0,College,"Very High","Very High",High,Better,"Meets Expectations",None
1547,36-45,High,"Long Tenure","Very Close",Established,3.00,3.00,1.34,0,0,0,Bachelor,"Very High","Very High",High,Bad,"Meets Expectations",Low
940,56+,High,Established,"Very Close",Developing,3.00,2.80,1.40,0,0,0,Bachelor,High,Medium,"Very High",Better,"Meets Expectations",Low
757,26-35,Medium,"Early Tenure",Close,Developing,3.00,3.00,0.82,0,0,0,College,Medium,High,"Very High",Better,"Meets Expectations",None
1544,26-35,High,Established,Close,Established,2.50,2.20,1.29,0,0,0,"Below College",High,Low,High,Better,"Meets Expectations",Low
1822,36-45,Medium,"Early Tenure","Very Close",Developing,3.50,3.40,0.87,0,0,0,Bachelor,High,"Very High","Very High",Better,"Meets Expectations",Low
762,56+,High,Established,Close,New,3.00,3.00,1.47,0,0,0,Bachelor,High,"Very High",High,Good,"Meets Expectations",None
942,26-35,Medium,Established,Far,Established,3.25,3.20,0.53,0,0,0,"Below College","Very High","Very High","Very High",Bad,Excellent,Low
343,36-45,High,"Long Tenure","Very Close",Established,3.25,3.20,1.45,0,0,0,Master,High,High,"Very High",Better,Excellent,None
764,26-35,Medium,Established,Close,Established,1.75,1.80,0.90,0,0,0,Bachelor,"Very High",Low,Low,Bad,"Meets Expectations",None
551,36-45,Medium,Established,Far,Developing,4.00,3.60,0.60,0,0,0,Master,"Very High","Very High","Very High",Best,"Meets Expectations",High
1092,36-45,High,"Long Tenure",Moderate,New,3.00,3.00,1.37,0,0,0,Master,Low,"Very High","Very High",Better,Excellent,Low
1529,26-35,High,"Long Tenure",Moderate,Developing,2.75,2.60,1.14,0,0,0,Bachelor,"Very High",Medium,"Very High",Bad,"Meets Expectations",None
771,26-35,Medium,"New Hire","Very Close",New,2.50,2.60,0.68,0,0,0,Master,"Very High",Low,Low,Best,"Meets Expectations",Low
1821,46-55,High,Established,Far,Established,3.50,3.40,1.19,1,0,1,College,"Very High",Medium,"Very High",Best,Excellent,Low
1515,26-35,Medium,"New Hire",Close,New,2.75,2.80,0.85,0,0,0,Doctor,"Very High",High,Low,Better,"Meets Expectations",None
1501,46-55,Medium,"Early Tenure","Very Close",New,3.00,3.00,0.54,0,0,0,Master,"Very High",High,Medium,Better,"Meets Expectations",None
1814,36-45,Medium,"Early Tenure","Very Close",New,1.50,2.00,0.91,0,0,0,Bachelor,Medium,Medium,Low,Bad,"Meets Expectations",None
1088,36-45,High,"Long Tenure",Moderate,Established,2.25,2.20,1.17,0,0,0,"Below College",High,High,Low,Good,"Meets Expectations",Low
1484,46-55,High,Established,Close,Established,2.50,2.60,1.39,0,0,0,Master,High,Medium,Medium,Better,"Meets Expectations",Medium
1803,36-45,Medium,"New Hire",Moderate,New,2.00,2.40,0.74,0,0,0,Bachelor,Medium,Low,High,Good,"Meets Expectations",Medium
1473,46-55,Medium,"Early Tenure","Very Close",New,2.00,2.20,0.88,0,0,0,Master,Low,High,Medium,Good,"Meets Expectations",Low
1790,36-45,High,"Long Tenure",Close,Established,3.00,3.00,1.11,0,0,0,Bachelor,"Very High",Low,"Very High",Better,"Meets Expectations",Low
117,26-35,Medium,"Long Tenure","Very Close",Established,2.75,2.60,0.55,0,1,0,Bachelor,High,"Very High",Low,Better,"Meets Expectations",High
1024,46-55,High,"Long Tenure","Very Close",Established,2.75,2.60,1.46,0,0,0,Master,High,High,Medium,Better,"Meets Expectations",None
119,36-45,High,Veteran,"Very Close",Long-Term,2.75,2.60,1.79,0,0,0,Master,High,Medium,"Very High",Good,Excellent,Low
367,26-35,Medium,Established,Far,Established,2.75,2.60,0.74,0,1,0,Bachelor,Medium,"Very High",Medium,Better,Excellent,Low
369,18-25,Medium,Established,"Very Close",Developing,2.50,2.80,0.53,0,0,0,College,Medium,Low,"Very High",Better,"Meets Expectations",Medium
124,46-55,High,Established,"Very Close",Developing,2.25,2.20,1.42,0,0,0,Bachelor,High,Low,High,Good,"Meets Expectations",Low
372,36-45,High,"Long Tenure",Moderate,Established,3.00,3.00,1.79,0,0,0,College,High,"Very High",Medium,Better,"Meets Expectations",None
1082,26-35,High,Established,Far,Established,1.50,1.60,1.16,1,0,1,College,Medium,Low,Low,Good,"Meets Expectations",None
1062,36-45,Medium,"Early Tenure","Very Close",New,2.25,2.40,0.55,0,0,0,Bachelor,"Very High",Medium,Low,Good,"Meets Expectations",None
961,26-35,Medium,Established,Moderate,Developing,3.00,3.00,0.78,0,1,0,Bachelor,"Very High","Very High",High,Bad,"Meets Expectations",Medium
1460,36-45,High,Established,Moderate,Established,2.00,1.80,1.44,1,0,0,Bachelor,Medium,Low,Medium,Better,"Meets Expectations",Low
1421,26-35,High,Established,Moderate,Established,2.75,2.80,1.00,1,0,1,"Below College",High,"Very High",Low,Better,"Meets Expectations",None
793,26-35,Medium,Established,Far,New,2.00,2.20,0.58,0,0,0,Bachelor,Medium,High,Low,Good,"Meets Expectations",Low
139,36-45,Medium,"New Hire","Very Close",New,3.75,3.40,0.69,0,0,0,College,High,"Very High","Very High",Best,"Meets Expectations",Low
969,26-35,Medium,"Early Tenure","Very Close",Developing,2.50,2.40,0.92,0,0,0,Bachelor,Medium,"Very High",Low,Better,"Meets Expectations",None
1397,36-45,High,Established,Far,Developing,2.75,2.80,1.45,0,0,0,College,High,High,Medium,Better,Excellent,Low
1383,26-35,Medium,"Long Tenure","Very Close",Long-Term,3.75,3.60,0.89,0,0,0,Master,High,"Very High","Very High",Best,"Meets Expectations",None
586,26-35,High,Established,Moderate,New,3.25,3.20,1.01,0,0,0,Bachelor,"Very High",High,High,Better,"Meets Expectations",None
145,46-55,High,"Long Tenure","Very Close",Established,1.75,1.80,0.99,0,0,0,Master,Low,Low,High,Good,Excellent,None
587,26-35,High,"New Hire",Moderate,New,2.00,2.20,1.30,1,0,1,Bachelor,Low,High,Low,Better,"Meets Expectations",None
390,26-35,Medium,"Early Tenure",Moderate,Developing,2.00,2.20,0.63,1,0,0,College,Low,Low,High,Better,"Meets Expectations",Low
1375,36-45,Medium,"Long Tenure","Very Close",Established,2.50,2.80,0.85,0,1,0,"Below College",Medium,High,Medium,Better,Excellent,High
1344,26-35,High,Established,Close,Established,3.50,3.40,1.13,0,0,0,Bachelor,"Very High","Very High","Very High",Good,"Meets Expectations",Low
393,36-45,Medium,"New Hire",Far,New,3.25,3.20,0.76,0,0,0,Master,"Very High","Very High",Medium,Better,"Meets Expectations",Low
1312,36-45,High,Established,Close,Established,2.75,2.80,0.94,0,0,0,Master,"Very High",High,Low,Better,"Meets Expectations",None
807,36-45,Medium,Established,"Very Close",Established,3.00,3.20,0.56,0,0,0,College,High,Medium,"Very High",Better,Excellent,Low
1295,36-45,High,Established,Moderate,Developing,3.00,3.00,1.06,1,0,1,Bachelor,Low,"Very High","Very High",Better,"Meets Expectations",Low
1278,46-55,High,Veteran,Close,New,3.25,3.00,1.80,0,0,0,"Below College","Very High",Medium,"Very High",Better,"Meets Expectations",Low
1260,26-35,Medium,Established,Close,New,3.00,3.00,0.88,0,0,0,Bachelor,High,"Very High",Medium,Better,"Meets Expectations",Medium
1252,26-35,Medium,Established,Far,Established,2.25,2.20,0.90,0,0,0,Bachelor,High,Low,Medium,Better,"Meets Expectations",None
1251,26-35,Medium,Established,Moderate,New,2.50,2.60,0.91,0,0,0,College,High,Low,"Very High",Good,"Meets Expectations",None
165,56+,High,Veteran,Far,Established,3.50,3.40,1.37,1,0,1,Master,"Very High","Very High","Very High",Good,"Meets Expectations",Low
1184,26-35,Medium,"Long Tenure","Very Close",Established,2.75,2.60,0.71,0,0,0,Bachelor,"Very High",Low,High,Better,Excellent,None
412,26-35,Medium,Established,Moderate,Established,2.25,2.60,0.75,0,0,0,College,Medium,Low,High,Better,"Meets Expectations",None
2062,36-45,High,Established,Close,Established,2.25,2.20,1.33,0,0,0,"Below College","Very High",Low,Low,Better,"Meets Expectations",Low
417,36-45,High,"Long Tenure","Very Close",Established,2.50,2.80,1.28,0,0,0,Bachelor,High,"Very High",Low,Good,"Meets Expectations",High
2049,26-35,Medium,Established,Moderate,New,3.50,3.40,0.76,0,0,0,Master,High,High,"Very High",Best,"Meets Expectations",Medium
616,36-45,Medium,Established,"Very Close",Established,2.00,2.00,0.90,0,0,0,Master,Low,High,Low,Better,"Meets Expectations",None
1903,36-45,Medium,"New Hire","Very Close",New,2.50,2.80,0.67,0,0,0,Master,Medium,Low,"Very High",Better,"Meets Expectations",Low
422,56+,Medium,"Early Tenure","Very Close",New,3.50,3.00,0.75,0,0,0,Master,"Very High",High,"Very High",Better,"Meets Expectations",Low
2026,56+,Medium,"Long Tenure","Very Close",Established,2.25,2.40,0.84,0,0,0,Master,High,High,Low,Good,Excellent,Low
2009,26-35,Medium,Established,Moderate,New,2.50,2.60,0.65,0,1,0,College,Medium,"Very High",Low,Better,"Meets Expectations",Low
1993,46-55,High,"Long Tenure",Far,Long-Term,2.25,2.40,1.15,0,0,0,Bachelor,Low,High,Medium,Better,Excellent,None
470,36-45,Low,"Early Tenure","Very Close",New,3.00,3.00,0.64,0,0,0,"Below College",High,High,High,Better,"Meets Expectations",Low
1778,36-45,Medium,Established,"Very Close",Established,2.75,2.80,0.84,0,0,0,Bachelor,Medium,"Very High",Medium,Better,"Meets Expectations",None
878,36-45,Low,"Early Tenure",Close,Developing,2.00,2.00,0.55,0,0,0,Bachelor,Low,Low,High,Better,Excellent,None
1747,26-35,Low,"Early Tenure",Close,New,3.00,2.80,0.51,1,0,1,Bachelor,High,"Very High",High,Good,"Meets Expectations",Low
1152,36-45,Low,Established,"Very Close",New,3.50,3.60,0.67,0,1,0,Bachelor,High,High,"Very High",Best,"Meets Expectations",Low
1746,18-25,Low,"New Hire",Close,New,3.00,3.00,0.51,0,0,0,Bachelor,Low,"Very High","Very High",Better,"Meets Expectations",Low
1744,36-45,High,"Early Tenure","Very Close",Developing,3.25,2.80,2.30,0,0,0,Bachelor,High,High,High,Best,Excellent,Medium
698,46-55,High,Established,Moderate,New,3.00,3.00,2.53,0,0,0,Master,High,Medium,High,Best,"Meets Expectations",Low
1722,36-45,Medium,"Early Tenure","Very Close",New,2.50,2.20,1.52,0,0,0,Bachelor,High,Medium,Medium,Better,"Meets Expectations",Low
1714,18-25,Low,"New Hire",Far,New,3.25,2.80,0.37,1,0,1,"Below College","Very High",High,High,Better,"Meets Expectations",Low
1683,36-45,Medium,"New Hire","Very Close",New,2.75,2.80,0.75,0,0,0,Bachelor,High,"Very High",Low,Better,"Meets Expectations",High
909,36-45,Medium,"Early Tenure","Very Close",Developing,3.50,3.20,1.23,0,0,0,Bachelor,"Very High","Very High",High,Better,"Meets Expectations",Medium
910,26-35,Low,"Early Tenure","Very Close",Developing,3.25,3.20,0.54,0,0,0,College,"Very High",Medium,High,Best,"Meets Expectations",Low
1642,36-45,Medium,Established,"Very Close",New,2.75,2.80,1.36,0,0,0,Doctor,Low,"Very High",High,Better,"Meets Expectations",None
321,56+,Low,"New Hire",Close,New,2.75,2.80,0.54,0,0,0,College,Medium,High,"Very High",Good,"Meets Expectations",None
1563,36-45,Medium,Established,Close,New,3.00,3.00,1.43,0,0,0,Master,High,High,High,Better,"Meets Expectations",None
1098,36-45,High,"Long Tenure","Very Close",Established,2.50,2.40,2.47,1,0,1,College,Medium,Low,"Very High",Better,"Meets Expectations",Low
760,36-45,Medium,Established,"Very Close",Established,2.25,2.60,1.51,0,0,0,Bachelor,High,Medium,High,Bad,"Meets Expectations",Low
103,46-55,Medium,"Early Tenure","Very Close",New,2.75,2.80,1.19,1,0,0,College,Medium,Medium,"Very High",Better,Excellent,Low
1499,26-35,Low,"Early Tenure","Very Close",Developing,2.75,2.80,0.49,0,0,0,Bachelor,High,High,Low,Best,Excellent,Low
566,18-25,Low,"New Hire","Very Close",New,3.00,2.80,0.61,1,0,1,College,Low,"Very High",High,Best,"Meets Expectations",None
1467,26-35,Low,"New Hire",Close,New,2.75,2.80,0.65,1,0,1,Master,Low,High,"Very High",Better,"Meets Expectations",None
1314,46-55,Medium,Established,"Very Close",Established,3.00,3.00,0.81,0,1,0,College,"Very High",Low,High,Best,"Meets Expectations",None
590,26-35,High,"Early Tenure",Far,New,2.25,2.40,2.35,1,0,1,Bachelor,Medium,Low,High,Better,"Meets Expectations",High
1461,26-35,Low,"Early Tenure",Close,New,3.25,3.40,0.50,0,0,0,College,"Very High",Medium,"Very High",Better,"Meets Expectations",None
184,26-35,Medium,"Long Tenure",Close,Established,3.00,3.00,1.50,0,0,0,Bachelor,High,"Very High","Very High",Bad,"Meets Expectations",None
1231,36-45,Medium,"Early Tenure","Very Close",Developing,2.50,2.80,1.48,0,0,0,Doctor,"Very High",Low,Low,Best,"Meets Expectations",Low
1944,26-35,Low,"New Hire",Far,New,1.75,1.80,0.68,1,0,1,Bachelor,Low,Medium,Low,Better,"Meets Expectations",None
608,26-35,Low,Established,Moderate,New,2.25,2.40,0.65,1,0,1,Master,Medium,High,Medium,Good,"Meets Expectations",Low
2040,26-35,High,Established,Far,Established,3.25,3.20,2.09,0,0,0,Master,High,"Very High",High,Better,"Meets Expectations",None
1890,36-45,Medium,Established,"Very Close",Established,3.00,2.80,0.92,0,0,0,"Below College",Medium,"Very High","Very High",Good,Excellent,None
847,26-35,Medium,"Early Tenure","Very Close",New,2.75,2.80,0.88,0,0,0,College,High,"Very High",High,Bad,"Meets Expectations",Low
424,26-35,Medium,"New Hire","Very Close",New,2.25,2.20,1.51,0,0,0,Bachelor,Low,Low,"Very High",Better,"Meets Expectations",None
1865,26-35,Low,"New Hire",Close,New,3.25,3.00,0.66,0,0,0,"Below College","Very High",Medium,"Very High",Better,"Meets Expectations",None
1207,26-35,Medium,"Early Tenure","Very Close",Developing,3.00,3.00,0.85,0,0,0,Bachelor,Medium,High,"Very High",Better,"Meets Expectations",Low
133,36-45,Low,"Early Tenure",Close,New,2.75,2.80,0.49,1,0,1,Master,High,Low,"Very High",Better,Excellent,None
1858,26-35,Low,"Early Tenure","Very Close",New,3.00,3.00,0.64,0,0,0,College,High,"Very High",Medium,Better,"Meets Expectations",Low
829,36-45,Low,"Early Tenure",Moderate,Developing,2.50,2.60,0.51,0,0,0,Bachelor,High,Medium,Medium,Better,"Meets Expectations",Low
1844,26-35,Low,"New Hire",Moderate,New,2.25,2.20,0.55,1,0,1,Bachelor,Low,Low,"Very High",Better,"Meets Expectations",High
1842,26-35,Low,"New Hire",Moderate,New,2.75,3.00,0.70,1,0,1,Doctor,"Very High",Low,High,Better,"Meets Expectations",None
1164,26-35,Medium,"Early Tenure",Close,Developing,2.25,2.40,1.02,0,0,0,Master,High,High,Medium,Bad,"Meets Expectations",None
1987,18-25,Low,"New Hire","Very Close",New,2.75,2.80,0.52,0,0,0,Bachelor,High,Medium,High,Better,"Meets Expectations",None
1289,26-35,Medium,Established,Moderate,Established,3.25,3.00,1.06,0,0,0,Bachelor,High,Medium,"Very High",Best,"Meets Expectations",Medium
1419,26-35,High,Established,Moderate,Established,1.50,1.60,1.89,0,0,0,Bachelor,Medium,Low,Low,Good,"Meets Expectations",None
1818,26-35,Low,"Early Tenure",Moderate,Developing,3.00,3.00,0.51,1,0,1,College,"Very High",Medium,High,Better,"Meets Expectations",None
177,26-35,Low,Established,Far,Established,3.25,3.20,0.69,0,1,0,"Below College",High,High,"Very High",Better,Excellent,Low
665,36-45,Medium,"New Hire","Very Close",New,2.50,2.40,1.41,0,0,0,Master,Low,High,Medium,Best,"Meets Expectations",None
1805,36-45,Low,"Long Tenure","Very Close",Established,2.50,2.60,0.61,0,0,0,Bachelor,Low,Medium,"Very High",Better,"Meets Expectations",High
1972,36-45,Low,Established,"Very Close",New,2.75,2.80,0.71,0,0,0,Master,"Very High",Medium,Medium,Better,"Meets Expectations",Low
1794,36-45,Medium,Established,Close,Established,2.50,2.60,0.96,0,0,0,College,High,Medium,High,Good,"Meets Expectations",None
1049,36-45,Low,Established,Far,Developing,2.00,2.20,0.51,0,0,0,Master,Medium,Medium,Low,Better,"Meets Expectations",None
869,26-35,Medium,"Early Tenure",Close,Developing,3.25,3.00,1.17,0,0,0,College,Medium,"Very High","Very High",Better,"Meets Expectations",Low
249,46-55,Medium,"Early Tenure","Very Close",New,3.00,2.80,1.14,0,0,0,Bachelor,High,High,"Very High",Good,"Meets Expectations",Low
392,36-45,Medium,"New Hire",Far,New,3.00,3.00,0.98,1,0,1,Bachelor,"Very High",High,"Very High",Bad,Excellent,Low
4,36-45,Low,"New Hire","Very Close",New,3.00,2.80,0.65,1,0,1,College,"Very High",High,Medium,Better,"Meets Expectations",None
394,26-35,Low,"Early Tenure",Moderate,New,2.50,2.60,0.73,1,0,1,Master,Low,Medium,"Very High",Better,"Meets Expectations",Low
7,26-35,Medium,"New Hire","Very Close",New,2.50,2.60,1.07,0,0,0,"Below College",Low,Medium,"Very High",Better,"Meets Expectations",Low
8,26-35,Medium,Established,"Very Close",Established,3.25,3.20,0.95,0,0,0,College,"Very High","Very High",High,Good,"Meets Expectations",None
10,56+,Low,"New Hire","Very Close",New,1.75,2.20,0.82,0,0,0,Bachelor,High,Low,Low,Good,Excellent,High
11,26-35,Low,"New Hire",Far,New,3.00,3.00,0.83,0,0,0,"Below College","Very High",High,Medium,Better,Excellent,Low
1586,26-35,Medium,Established,"Very Close",Developing,2.50,2.60,1.46,1,0,0,"Below College",Medium,Low,"Very High",Better,"Meets Expectations",None
14,26-35,Low,"Early Tenure",Moderate,Developing,2.25,2.60,0.75,0,0,0,Bachelor,Low,Medium,High,Better,"Meets Expectations",Low
15,26-35,Medium,Established,Moderate,Established,3.50,3.20,1.30,0,0,0,College,"Very High",High,"Very High",Better,"Meets Expectations",None
704,26-35,Low,"New Hire","Very Close",New,3.00,2.80,0.40,0,0,0,Bachelor,High,High,High,Better,"Meets Expectations",Medium
18,26-35,Low,"New Hire",Moderate,New,3.00,3.00,0.82,0,0,0,College,Medium,"Very High",High,Better,"Meets Expectations",Low
